BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA3498598,PRJEB10098,Equus ferus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',21
SAMEA3498599,PRJEB10098,Equus ferus,,ERP011292,modern,,,TableS1.final holds some information,'fastq' 'sra',1
SAMEA3498600,PRJEB10098,Equus ferus,,ERP011292,modern,,,TableS1.final holds some information,'fastq' 'sra',1
SAMEA3498601,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'fastq' 'sra',7
SAMEA3498602,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'fastq' 'sra',9
SAMEA3498888,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',3
SAMEA3498889,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498890,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498891,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498892,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498893,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498894,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498895,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498896,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498897,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498898,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3498899,PRJEB10098,Equus caballus,Franches-Montagnes,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',2
SAMEA3499831,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499832,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499833,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499834,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499835,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499836,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499837,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3499838,PRJEB10098,Equus caballus,,ERP011292,modern,,,TableS1.final holds some information,'bam' 'fastq' 'sra',9
SAMEA3504070,PRJEB9799,Equus caballus,Mongolian,ERP010944,modern,,,appears modern,'fastq' 'sra',1
SAMEA3504078,PRJEB9799,Equus caballus,Mangalarga Marchador,ERP010944,modern,,,appears modern,'fastq' 'sra',1
SAMEA3514283,PRJEB10532,Equus ferus,"CGG_1_011850 YT03 / 40 / ABC9779 Equus ferus Irish Gulch Central Alaska\, USA",ERP011795,ancient,,,ancient in paper,'fastq' 'sra',7
SAMEA3514284,PRJEB10532,Equus ferus,"CGG_1_011849 YT03 / 185 / ABC9926 Equus ferus Irish Gulch Central Alaska\, USA",ERP011795,ancient,,,ancient in paper,'fastq' 'sra',7
SAMEA3514285,PRJEB10532,Hippidion saldiasi,"CGG_1_017438 CDM4 Hippidion saldiasi Cueva del Milodón Magallanes\, Southern Chile",ERP011795,ancient,,,ancient in paper,'fastq' 'sra',15
SAMEA3514286,PRJEB10532,Equus caballus,CGG_1_017010 715-660 Equus caballus Botay Northern Kazakhstan,ERP011795,ancient,,,ancient in paper,'fastq' 'sra',5
SAMEA3514287,PRJEB10532,Equus caballus,"CGG_1_017038 838-64 Equus caballus Botay Chelyabinsk region\, Southwestern Russia",ERP011795,ancient,,,ancient in paper,'fastq' 'sra',7
SAMEA3542237,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542238,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542239,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542240,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542241,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542242,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542243,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542244,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542245,PRJEB10854,Equus caballus,Yakutian horse,ERP012152,modern,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542247,PRJEB10854,Equus caballus,Ancient horse from Yakutia,ERP012152,ancient,,Age,Region of Origin for location,'bam' 'fastq' 'sra',18
SAMEA3542248,PRJEB10854,Equus caballus,Ancient horse from Yakutia,ERP012152,ancient,,Age,Region of Origin for location,'bam' 'fastq' 'sra',49
SAMEA3889830,PRJEB12979,Equus caballus,UK Warmblood (>50% Quarter),ERP014514,modern,,,,'bam' 'sra',1
SAMEA3889831,PRJEB12979,Equus caballus,American Paint,ERP014514,modern,,,,'bam' 'sra',1
SAMEA3889832,PRJEB12979,Equus caballus,American Paint,ERP014514,modern,,,,'bam' 'sra',1
SAMEA3889833,PRJEB12979,Equus caballus,American Paint,ERP014514,modern,,,,'bam' 'sra',1
SAMEA3951217,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra',1
SAMEA3951218,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra',1
SAMEA3951219,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra',1
SAMEA3951220,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra' 'unknown_contigs',1
SAMEA3951221,PRJEB13863,Equus caballus,Friesian dwarf,ERP015442,modern,,,,'bam' 'sra',1
