BioSample,BioProject,Organism,sub_group,SRA_Study,era,era_guess,age,comments,DATASTORE_filetype,run_count
SAMEA5408165,PRJEB31613,Equus asinus,Boinville,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408166,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408167,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408168,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408169,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408170,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408171,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408172,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408173,PRJEB31613,Equus caballus,Botai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408174,PRJEB31613,Equus caballus,"Boves, chemin de Glisy",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408175,PRJEB31613,Equus caballus,Boz-Adyr,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408176,PRJEB31613,Equus caballus,Boz-Adyr,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408177,PRJEB31613,Equus caballus,Brough Of Deerness,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408178,PRJEB31613,Equus caballus,Brough Of Deerness,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408179,PRJEB31613,Equus caballus,BroughOfDeerness,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408180,PRJEB31613,Equus caballus,BroughOfDeerness,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408181,PRJEB31613,Equus caballus,Bruszcewo,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408182,PRJEB31613,Equus caballus,"Camino de las Yeseras, Madrid",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408183,PRJEB31613,Equus caballus,Cantorella,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408184,PRJEB31613,Equus caballus,Capesterre-Belle-Eau,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408185,PRJEB31613,Equus caballus,Capote,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408186,PRJEB31613,Equus caballus,Steim am Rhein Charregass,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408187,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408188,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408189,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408190,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408191,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408192,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408193,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408194,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408195,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408196,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408197,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408198,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408199,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408200,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408201,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408202,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408203,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408204,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408205,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408206,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408207,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408208,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408209,PRJEB31613,Equus caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408210,PRJEB31613,Equus asinus x caballus,"Chartres, boulevard de la Courtille",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408211,PRJEB31613,Equus caballus,"Dariali, Tamara Fort",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408212,PRJEB31613,Equus caballus,Derkul,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408213,PRJEB31613,Equus caballus,Derkul,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408214,PRJEB31613,Equus caballus,El Acequión,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408215,PRJEB31613,Equus caballus,El Acequión,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408216,PRJEB31613,Equus caballus,Els Vilars,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408217,PRJEB31613,Equus asinus x caballus,"Evreux, Clos-au-Duc",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408218,PRJEB31613,Equus asinus x caballus,"Evreux, Clos-au-Duc",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408219,PRJEB31613,Equus caballus,"Evreux, Clos-au-Duc",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408220,PRJEB31613,Equus caballus,"Evreux, Clos-au-Duc",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408221,PRJEB31613,Equus caballus,"Evreux, Clos-au-Duc",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408222,PRJEB31613,Equus caballus,Fengtai,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408223,PRJEB31613,Equus caballus,Frankfurt-Heddenheim,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408224,PRJEB31613,Equus caballus,Gol Mod II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408225,PRJEB31613,Equus caballus,Gol Mod II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408226,PRJEB31613,Equus caballus,Gol Mod II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408227,PRJEB31613,Equus caballus,Gol Mod II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408228,PRJEB31613,Equus caballus,Gol Mod II,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408229,PRJEB31613,Equus caballus,Goyet,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408230,PRJEB31613,Equus caballus,Goyet,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408231,PRJEB31613,Equus caballus,Goyet,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408232,PRJEB31613,Equus caballus,Goyet,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408233,PRJEB31613,Equus caballus,Granastaðir,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408234,PRJEB31613,Equus caballus,Halvai 5,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408235,PRJEB31613,Equus caballus,Halvai 3,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408236,PRJEB31613,Equus caballus,Khatuu 2,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408237,PRJEB31613,Equus caballus,Khotont,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408238,PRJEB31613,Equus caballus,Kokorevo,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408239,PRJEB31613,Equus caballus,Krasnaya Gorka,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408240,PRJEB31613,Equus caballus,Krasnokamenka,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408241,PRJEB31613,Equus caballus,Krasnokamenka,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408242,PRJEB31613,Equus caballus,Kulian Cave,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408243,PRJEB31613,Equus caballus,Lebyazhinka IV,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408244,PRJEB31613,Equus caballus,Longueil-Annel,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408245,PRJEB31613,Equus caballus,"Macon, rue Rambuteau",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408246,PRJEB31613,Equus caballus,Mainz,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408247,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408248,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408249,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408250,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408251,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408252,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408253,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408254,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408255,PRJEB31613,Equus caballus,Marvelė cemetery,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408256,PRJEB31613,Equus caballus,Merzly Yar,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408257,PRJEB31613,Equus caballus,"Metz, Place de la République",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408258,PRJEB31613,Equus caballus,Miciurin,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408259,PRJEB31613,Equus caballus,museum specimen,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408260,PRJEB31613,Equus caballus,museum specimen,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408261,PRJEB31613,Equus caballus,Noyon - Orroire,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408262,PRJEB31613,Equus caballus,Nuštar,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408263,PRJEB31613,Equus caballus,Nuštar,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408264,PRJEB31613,Equus caballus,Oktyabrsky,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408265,PRJEB31613,Equus caballus,Oktyabrsky,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408266,PRJEB31613,Equus caballus,Olon Kurin Gol,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408267,PRJEB31613,Equus caballus,Olon Kurin Gol,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408268,PRJEB31613,Equus caballus,Otepää,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408269,PRJEB31613,Equus caballus,Otok,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408270,PRJEB31613,Equus caballus,Potapovka I,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408271,PRJEB31613,Equus caballus,Quoygrew,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408272,PRJEB31613,Equus caballus,Ridala,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408273,PRJEB31613,Equus caballus,Saadjärve,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408274,PRJEB31613,Equus caballus,Sagzabad,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408275,PRJEB31613,Equus hemionus,Sagzabad,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408276,PRJEB31613,Equus asinus x caballus,Saint-Claude,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408277,PRJEB31613,Equus asinus x caballus,Saint-Just-en-Chaussée,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408278,PRJEB31613,Equus asinus x caballus,Saint-Just-en-Chaussée,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408279,PRJEB31613,Equus caballus,Saint-Just-en-Chaussée,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408280,PRJEB31613,Equus caballus,Saint-Quentin,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408281,PRJEB31613,Equus asinus x caballus,Saint-Quentin,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408282,PRJEB31613,Equus caballus,Alcáçova de Santarém,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408283,PRJEB31613,Equus caballus,Sayangorsk,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408284,PRJEB31613,Equus caballus,,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408285,PRJEB31613,Equus caballus,Šebastovce,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408286,PRJEB31613,Equus caballus,Shar-I-Qumis,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408287,PRJEB31613,Equus caballus,Sintashta,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408288,PRJEB31613,Equus caballus,Sintashta,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408289,PRJEB31613,Equus caballus,Solothurn-Vigier,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408290,PRJEB31613,Equus caballus,Solothurn-Vigier,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408291,PRJEB31613,Equus asinus,Solothurn-Vigier,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408292,PRJEB31613,Equus caballus,Syrgal 1,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408293,PRJEB31613,Equus caballus,Tavan Tolgoi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408294,PRJEB31613,Equus caballus,Tavan Tolgoi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408295,PRJEB31613,Equus caballus,Tavan Tolgoi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408296,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408297,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408298,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408299,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408300,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408301,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408302,PRJEB31613,Equus hemionus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408303,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408304,PRJEB31613,Equus caballus,Tepe Hasanlu,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408305,PRJEB31613,Equus hemionus,Tepe Mehr Ali,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408306,PRJEB31613,Equus caballus,Uppsala,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408307,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408308,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408309,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408310,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408311,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408312,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408313,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408314,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408315,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408316,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408317,PRJEB31613,Equus caballus,Uushgiin Uvur,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408318,PRJEB31613,Equus caballus,"Vermand, rue De Gaulle",ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408319,PRJEB31613,Equus caballus,Vicerrectorado,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408320,PRJEB31613,Equus caballus,Whitehall Roman Villa,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408321,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408322,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408323,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408324,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408325,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408326,PRJEB31613,Equus caballus,Witter Place,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408327,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408328,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408329,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408330,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408331,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408332,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408333,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408334,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408335,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408336,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408337,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408338,PRJEB31613,Equus asinus x caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
SAMEA5408339,PRJEB31613,Equus caballus,Yenikapi,ERP114186,ancient,,Age (years ago) ,supplementary holds lots of info – joined,'bam' 'sra',2
