Run,BioSample,BioProject,Organism,sub_group,DATASTORE_filetype,SRA_Study,era,era_guess,age,comments
ERR979505,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979506,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979507,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979508,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979509,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979510,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979511,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979512,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979513,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979514,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979515,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979516,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979518,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979519,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979520,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979521,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979522,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979523,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979524,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979525,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979526,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979527,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979528,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979529,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979530,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979531,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979532,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979534,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979535,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979536,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979537,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979538,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979539,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979540,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979541,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979542,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979543,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979544,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979545,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979546,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979547,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979548,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979549,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979550,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979551,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979552,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979553,SAMEA3498588,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979554,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979556,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979557,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979558,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979559,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979560,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979561,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979562,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979563,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979565,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979566,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979568,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979570,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979571,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979572,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979573,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979574,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979575,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979576,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979577,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979578,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979579,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979580,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979581,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979582,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979583,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979584,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979585,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979586,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979587,SAMEA3498580,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979589,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979591,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979592,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979593,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979595,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979596,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979597,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979598,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979599,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979600,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979601,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979602,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979603,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979604,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979605,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979606,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979607,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979608,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979609,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979610,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979611,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979612,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979613,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979614,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979615,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979616,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979618,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979619,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979621,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979622,SAMEA3498581,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979623,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979624,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979625,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979627,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979628,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979629,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979630,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979632,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979633,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979634,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979635,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979636,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979637,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979638,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979639,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979640,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979641,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979642,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979643,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979645,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979646,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979648,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979650,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979651,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979652,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979654,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979655,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979656,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979657,SAMEA3498591,PRJEB10098,Equus ferus,,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979658,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979659,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979660,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979661,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979662,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979663,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979664,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979665,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979666,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979667,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979668,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979669,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979670,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979671,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979672,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979673,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979674,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979675,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979676,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979677,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979679,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979680,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979681,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979682,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979683,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979685,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979686,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979687,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979688,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979689,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979690,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979692,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979694,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979695,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979696,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979697,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979698,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979699,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979700,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979701,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979702,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979703,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979706,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979707,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979708,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979709,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979710,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979711,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979712,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979713,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979714,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979715,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979716,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979717,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"fastq,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979784,SAMEA3498896,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979785,SAMEA3498899,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979788,SAMEA3498893,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979789,SAMEA3498892,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979790,SAMEA3498897,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979791,SAMEA3498888,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979793,SAMEA3498890,PRJEB10098,Equus caballus,Franches-Montagnes,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979795,SAMEA3498891,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979796,SAMEA3499838,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979797,SAMEA3499834,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979798,SAMEA3499835,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979799,SAMEA3499836,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979800,SAMEA3499837,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979801,SAMEA3499831,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979802,SAMEA3499832,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR979803,SAMEA3499833,PRJEB10098,Equus caballus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982704,SAMEA3498582,PRJEB10098,Equus caballus,Mongolian,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982705,SAMEA3498579,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982706,SAMEA3498581,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982707,SAMEA3498583,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982708,SAMEA3498587,PRJEB10098,Equus ferus,Przewalski,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982709,SAMEA3498591,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982710,SAMEA3498595,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982711,SAMEA3498593,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982713,SAMEA3498584,PRJEB10098,Equus ferus,Przewalski-hybrid,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982714,SAMEA3498585,PRJEB10098,Equus ferus,Przewalski,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982715,SAMEA3498586,PRJEB10098,Equus ferus,Przewalski,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982716,SAMEA3498588,PRJEB10098,Equus ferus,,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982717,SAMEA3498589,PRJEB10098,Equus ferus,Przewalski,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
ERR982718,SAMEA3498590,PRJEB10098,Equus ferus,Przewalski,"bam,sra",ERP011292,modern,,,TableS1.final holds some information
