supplementary_data_from_studies,description
TableS1.1.csv,Modern. Sample Information for the modern Yakutian horses analysed in doi.org/10.1073/pnas.1513696112
TableS1.2.csv,Ancient. Sample Information for the ancient Yakutian horses analysed in doi.org/10.1073/pnas.1513696112
TableS2.4.csv,Genome characteristics for the ancient and present-day horses of the comparative panel. From doi.org/10.1073/pnas.1513696112
TableS1.final.csv,Modern horses from 10.3390/genes10090649
TableS2.final.csv,Ancient horses from 10.3390/genes10090649
1-mmc1.csv,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series
