Run,Alias,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Description,ENA_CHECKLIST,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,MBases,MBytes,Organism,Platform,ReleaseDate,Sample Name,sample_name,SRA_accession,SRA Study,title
ERR1659878,9COD028_BLEDD,WGS,252,269099208,PRJEB15516,SAMEA4465535,92854668,UNIVERSITY OF OSLO,public,"contigs,fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730196,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD028_BLEDD,PAIRED,RANDOM,GENOMIC,269,88,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465535,ERS1364714,ERS1364714,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659880,11COD028_DD,WGS,252,8777651652,PRJEB15516,SAMEA4465537,3509276233,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_DD,ERC000011,2016-09-29,2018-11-16,ERX1730198,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD028_DD,PAIRED,RANDOM,GENOMIC,8777,3346,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465537,ERS1364716,ERS1364716,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659885,16COD029_SD,WGS,252,2904109740,PRJEB15516,SAMEA4465542,1159186016,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_SD,ERC000011,2016-09-29,2018-11-16,ERX1730203,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_SD,PAIRED,RANDOM,GENOMIC,2904,1105,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465542,ERS1364721,ERS1364721,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659886,17COD029_DD,WGS,252,4691340360,PRJEB15516,SAMEA4465543,1866929222,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_DD,ERC000011,2016-09-29,2018-11-16,ERX1730204,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:27Z,public,Illumina HiSeq 2500,COD029_DD,PAIRED,RANDOM,GENOMIC,4691,1780,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465543,ERS1364722,ERS1364722,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659891,22COD030_SD,WGS,252,2610989640,PRJEB15516,SAMEA4465548,1048284617,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD030_SD,ERC000011,2016-09-29,2018-11-16,ERX1730209,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD030_SD,PAIRED,RANDOM,GENOMIC,2610,999,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465548,ERS1364727,ERS1364727,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659895,26COD034_BLEDD,WGS,252,1446732,PRJEB15516,SAMEA4465552,545146,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD034_BLEDD,ERC000011,2016-09-29,2018-11-16,ERX1730213,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD034_BLEDD,PAIRED,RANDOM,GENOMIC,1,0,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465552,ERS1364731,ERS1364731,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659898,29COD027_BLEDD2,WGS,252,6286530096,PRJEB15516,SAMEA4465555,2343886080,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730216,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD027_BLEDD2,PAIRED,RANDOM,GENOMIC,6286,2235,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465555,ERS1364734,ERS1364734,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659899,30COD027_BLEDD2,WGS,252,2989234584,PRJEB15516,SAMEA4465556,1176941116,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD027_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730217,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD027_BLEDD2,PAIRED,RANDOM,GENOMIC,2989,1122,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465556,ERS1364735,ERS1364735,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659901,32COD028_BLEDD2,WGS,252,6133079484,PRJEB15516,SAMEA4465558,2423767196,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD028_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730219,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD028_BLEDD2,PAIRED,RANDOM,GENOMIC,6133,2311,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465558,ERS1364737,ERS1364737,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659902,33COD029_BLEDD2,WGS,252,4931069472,PRJEB15516,SAMEA4465559,1883583397,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD029_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730220,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD029_BLEDD2,PAIRED,RANDOM,GENOMIC,4931,1796,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465559,ERS1364738,ERS1364738,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
ERR1659904,35COD030_BLEDD2,WGS,252,4230548784,PRJEB15516,SAMEA4465561,1583630336,UNIVERSITY OF OSLO,public,"fastq,sra","ena,gs,ncbi,s3","ena,gs.US,ncbi.public,s3.us-east-1",COD030_BLEDD2,ERC000011,2016-09-29,2018-11-16,ERX1730222,CEES,2016-09-29T17:01:48Z,2016-09-26T14:02:28Z,public,Illumina HiSeq 2500,COD030_BLEDD2,PAIRED,RANDOM,GENOMIC,4230,1510,Gadus morhua,ILLUMINA,2016-10-01T00:00:00Z,SAMEA4465561,ERS1364740,ERS1364740,ERP017326,Combining bleach and mild pre-digestion improves ancient DNA recovery from bones
